Name,Author,Book Type,Book Type 1,Completed Year,DEFCON,End Date,Genre,Link,No of Pages,Notes Availability,Priority,Publisher,Publishing/Release Year,Purchase Date,Score /5,Start Date,Status,Summary,Total Time,Type
The Amazon Management System,"Julia Yang, Ram Charan",,Hardcover,2020,1,,Entrepreneurship,,162,Yes,,,,,⭐️⭐️⭐️⭐️⭐️,,Finished,,,Book
Shoe Dog,Phil Knight,,Paperback,,2,,Biography,,386,,,Simon & Schuster,,,,,Yet to start,,,Book
Cognitive Fitness,Anil Rajput,,Paperback,,2,,"Mental Fitness, Self Help",,227,,,,,,,,Yet to start,Pain is inevitable how to alleviate it and use it to your advantage,,Book
Contagious,Jonah Berger,,Paperback,2021,2,"May 6, 2021","Entrepreneurship, Marketing, Startup",,244,Yes,Highest,Simon & Schuster,2013,,⭐️⭐️⭐️⭐️⭐️,"May 2, 2021",Finished,How to build word of mouth in the digital age,4,Book
Kochland,Christopher Leonard,,Paperback,,3,,Business,,687,,,Simon & Schuster,,,,,Yet to start,The secret history of koch industries and corporate power in america,,Book
The Lean Startup,Eric Ries,,Paperback,2020,1,,Startup,,320,No,,Penguin Group,,,⭐️⭐️⭐️⭐️⭐️,,Finished,How constant innovation creates radically successful businesses,,Book
Crushing It,Gary Vaynerchuk,,Paperback,,2,,Entrepreneurship,,271,,,Harper Collins Publishers,,,,,Yet to start,"How Great Entrepreneur build their Business and Influence and how you can,Too",,Book
The Hard Thing About Hard Things,Ben Horowitz,,Hardcover,2020,1,"September 25, 2020",Entrepreneurship,,289,No,,Harper Collins Publishers,,,⭐️⭐️⭐️⭐️⭐️,"September 22, 2020",Finished,Building a business when there are no easy answers,3,Book
That Will Never Work,Marc Randolph,Physical,Hardcover,2020,1,"August 31, 2020",Biography,,311,No,,Endeavour,,,⭐️⭐️⭐️⭐️⭐️,"August 28, 2020",Finished,The birth of Netflix and the amazing life of an idea,3,Book
What you do is who you are,Ben Horowitz,,Hardcover,,1,,"Business, Entrepreneurship",,273,,High,William Collins,,,,,Yet to start,How to create your business culture,,Book
The Upstarts,Brad Stone,,Hardcover,2021,2,"February 23, 2021","Entrepreneurship, Startup",,485,No,,Little Brown Company,2017,,⭐️⭐️⭐️⭐️⭐️,"February 20, 2021",Finished,"How uber, Airbnb,and the killer companies of the new silicon valley are changing the world",3,Book
Delivering Happiness,Tony Hsieh,,Paperback,2021,1,"April 12, 2021","Business, Entrepreneurship, Startup",,289,Yes,High,Grand Central Publishing,2010,,⭐️⭐️⭐️⭐️⭐️,"April 11, 2021",Finished,"A Path to profits, passion, and purpose",1,Book
How to avoid loss and earn consistently in the stock market,Prasenjit Paul,,Paperback,,2,,Finance,,227,,,Paul Asset Consultant,,,,,Reading,Am easy to understand and practical guide for every Investor,,Book
Think & Grow Rich,Napoleon Hill,,Paperback,,2,,Self Help,,271,,,Fingerprint Classics,,,,,Yet to start,The secret to freedom and success,,Book
The Richest Man in Babylon,George S. Clason,,Paperback,,2,,"Finance, Self Help",,155,,,Fingerprint Classics,,,,,Yet to start,The success secrets of the ancients - there most inspiring book on wealth ever written,,Book
The Power of your Subconscious Mind,Dr. Joseph Murphy,,Paperback,,1,,"Mental Fitness, Self Help",,256,,High,Fingerprint Classics,,,,,Yet to start,Unlock your master key to success,,Book
Steve Jobs,Walter Issacson,,Paperback,2020,1,,Biography,,568,No,,Abacus,,,⭐️⭐️⭐️⭐️⭐️,,Finished,,,Book
Elon Musk,Ashlee Vance,,Paperback,2020,1,"June 24, 2020",Biography,,392,No,,,,,⭐️⭐️⭐️⭐️,"June 19, 2020",Finished,,5,Book
Alibaba,Duncan Clark,,Paperback,2020,1,"July 7, 2020",Biography,,294,No,,CCC,,,⭐️⭐️⭐️⭐️,"July 1, 2020",Finished,The house that Jack Ma built,6,Book
The Subtle Art Of Not Giving Fuck,Mark Manson,,Paperback,2020,1,,Self Help,,210,No,,Harper Collins Publishers,,,⭐️⭐️⭐️⭐️,,Finished,The counterintuitive approach to living a good Life,,Book
Crush It!,Gary Vaynerchuk,,Paperback,2020,1,,Entrepreneurship,,142,No,,Harper Collins Publishers,,,⭐️⭐️⭐️⭐️⭐️,,Finished,Why now is the time to crush your passion,,Book
Before You Start Up,Pankaj Goyal,,Paperback,2020,1,,Startup,,200,No,,Fingerprint Classics,,,⭐️⭐️⭐️⭐️⭐️,,Finished,Things to be remembered before starting a startup,,Book
Happiness Express,"Dinesh Ghodke, Khurshed Batliwala",,Paperback,2020,1,,Wellness,,311,No,,Westland Publications,,,⭐️⭐️⭐️⭐️⭐️,,Finished,A Journey to everday well-being,,Book
No Limits,Mukesh Bansal,,Paperback,,2,,"Productivity, Self Help",,355,,,Westland Publications,,,,,Yet to start,The art and science of high performance,,Book
"Ready, Study, Go","Dinesh Ghodke, Khurshed Batliwala",,Paperback,,3,,Self Help,,222,,,Harper Collins Publishers,,,,,Yet to start,Smart ways to learn,,Book
48-Hour Startup,Fraser Doherty MBE,,Paperback,2021,1,"February 4, 2021",Startup,,208,No,Highest,Thorsons Classics,2016,,⭐️⭐️⭐️⭐️,"February 1, 2021",Finished,From idea  to launch in 1 weekend,3,Book
Meditations and its Methods,Swami Vivekananda,,Paperback,,2,,"Mental Fitness, Wellness",,165,,,Grapevine,,,,,Yet to start,,,Book
How to develop self-confidence & influence people by public speaking,Dale Carnegie,,Paperback,,2,,"Communication, Self Help",,200,,,Amazing reads,,,,,Yet to start,,,Book
How to Memorize Anything,"Aditi Singhal, Sudhir Singhal",Physical,Paperback,,2,,Self Help,,320,,,Penguin Group,,,,,Reading,The ultimate handbook to explore and improve your memory,,Book
High Output Management,Andrew S. Grove,,Paperback,,2,,"Business, Entrepreneurship",,243,,,Vintage,,,,,Yet to start,,,Book
Getting to Yes,"Roger Fisher, William Ury",Physical,Paperback,,2,,Sales,,204,,,RH Business Books,,,,,Yet to start,Negotiating an agreement without giving in,,Book
100 Dollar Startup,Chris Guillebeau,Physical,Paperback,,2,,"Business, Entrepreneurship, Startup",,304,,,,,,,,Yet to start,"Fire your boss, do what you love and work better to live more",,Book
Secret of Success and Happy Heart,Vikas Chadha,,Ebook,,3,,Self Help,,211,,,,,,,,Yet to start,Stories of Inspiration,,Book
Zero to Sold,Arvid Kahl,,Ebook,,1,,"Entrepreneurship, Startup",,454,,Highest,,,,,,Yet to start,"How to start, run, sell a bootstrapped business",,Book
The Secret of Leadership,Prakash Iyer,,Ebook,,1,,Self Help,,250,,Highest,,,,,,Yet to start,"Stories to awaken, inspire and unleash the leaders within",,Book
The Corporate Chanakya,Radhakrishnan Pillai,,Ebook,,2,,Entrepreneurship,,318,,,,,,,,Yet to start,The successful management by chanakya way,,Book
Never Split the Difference,Chris Voss,,Ebook,,1,,Entrepreneurship,,275,,High,,,,,,Yet to start,,,Book
Obviously Awesome,April Dunford,,Ebook,,1,,"Entrepreneurship, Startup",,189,,Highest,,,,,,Yet to start,"How to nail product positioning so that customer Get it, Buy it, Love it",,Book
The Automatic Millionaire,David Bach,,Ebook,,2,,Finance,,195,,,,,,,,Yet to start,A powerful one step plan to live and finish rich,,Book
The Lean Product Playbook,Dan Oslen,,Ebook,,1,,Startup,,309,,Highest,,,,,,Yet to start,How to innovate with MVP and rapid customer feedback,,Book
A Thought to a Million Dollar Startup,"Salma Moosa, Vivek Srinivasan",,Ebook,,2,,Startup,,129,,,,,,,,Yet to start,Reality depends on your vantage point,,Book
Catalyst,Chandramouli Venkatesan,,Ebook,,3,,"Entrepreneurship, Self Help",,208,,,Penguin Group,2018,,,,Yet to start,The Ultimate strategies on how to win at life and work,,Book
The New Rule of Business,Rajesh Srivastava,,Ebook,,1,,"Business, Entrepreneurship, Startup",,286,,Highest,,,,,,Yet to start,Get ahead or left behind,,Book
Hyperfocus,Chris Bailey,,Ebook,,2,,"Productivity, Self Help",,216,,,,,,,,Reading,How to work less and achieve more,,Book
Drive,Daniel H Pink,,Ebook,,2,,Self Help,,216,,,,,,,,Yet to start,The suprising truth about what motivates us,,Book
The Productivity Project,Chris Bailey,,Ebook,,2,,Productivity,,293,,,,,,,,Yet to start,Proven ways to become awesome,,Book
The One Thing,Gary Keller,,Ebook,,2,,Self Help,,214,,,,,,,,Yet to start,The suprising simple truth behind extraordinary  results,,Book
Blitzscaling,"Chris Yeh, Reid Hoffman",,Ebook,,1,,"Business, Entrepreneurship, Startup",,326,,Highest,,,,,,Yet to start,The lightining fast path to building billion dollar companies,,Book
30 Days,Marc Reklau,,Ebook,,2,,"Productivity, Self Help",,232,,,Rupa Publications India,2019,,,,Yet to start,"Change your habits, Change your life",,Book
Don't Startup,Karthick Kumar,,Ebook,2021,1,"April 30, 2021",Startup,,186,Yes,Highest,Notion Press,2018,,⭐️⭐️⭐️⭐️,"April 29, 2021",Finished,What no one tells you about starting your own business,1,Book
No Shortcuts,Nistha Tripathi,,Ebook,,1,,Startup,,280,,High,,,,,,Yet to start,Rare insight from 15 successful startup founders,,Book
Be a Human Calculator,Rajesh Sarwat,,Ebook,,2,,Self Help,,163,,,Notion Press,,,,,Yet to start,Mere observation no magic,,Book
Scale Smart,Anirudh Narayan,,Ebook,,1,,Startup,,319,,Highest,,,,,,Yet to start,How to get your first 1000 customers in India,,Book
Company of One,Paul Jarvis,,Ebook,,2,,Startup,,238,,,,,,,,Yet to start,Why starting small is the next best thing in business,,Book
Take Off your Startup,Sumyuk Kumar,,Ebook,2020,1,"October 1, 2020",Startup,,338,Yes,,,,,⭐️⭐️⭐️⭐️⭐️,"September 27, 2020",Finished,"How to start a business explained in 145 Startup Stories, 8 Steps to choose new business ideas, 72 concepts to create business plan and 7 scientific formula for team building.",4,Book
It's Logical,Kaustubh Dhargalkar,,Paperback,2020,1,"September 4, 2020",Business,,232,No,,,,,⭐️⭐️⭐️⭐️⭐️,"August 31, 2020",Finished,Innovating Profitable Business Model,4,Book
The Art of Thinking Clearly,Rolf Dobeli,,Hardcover,,2,,Self Help,,336,,,,,,,,Yet to start,,,Book
The Practicing Mind,Thomas M. Sterner,,Paperback,,3,,Self Help,,164,,,,,,,,Reading,Master any skill or Challenge by learning to love the process,,Book
Creative Confidence,Tom Kelly,,Paperback,,1,,"Creativity, Self Help",,244,,Highest,,,,,,Reading,Unleashing the creative potential within us all,,Book
Your Next Five Moves,Patrick Bet-David,,Paperback,,3,,"Business, Entrepreneurship, Startup",,320,,,,,,,,Yet to start,Master the art of Business Strategy,,Book
Above and Beyond,R. Srinivasan,,Hardcover,,2,,Business,,214,,,,,,,,Yet to start,How to build impactful business,,Book
50 Business Classics,Tom Butler-Bowdon,,Paperback,,2,,Business,,390,,,,,,,,Yet to start,"Your shortcut to the most important ideas on innovation, management, and strategy",,Book
Day to Day Economics,Sathish Y Deodhar,,Ebook,,1,,Economics,,175,,Medium,,,,,,Reading,,,Book
Hit Refresh,Satya Nadella,,Hardcover,2020,1,"September 7, 2020",Entrepreneurship,,288,Yes,,Harper Collins Publishers,,,⭐️⭐️⭐️⭐️⭐️,"September 4, 2020",Finished,The quest to rediscover Microsoft's soul and imagine a better future for everyone,3,Book
Good Strategy/Bad Strategy,Richard Rumelt,,Paperback,,2,,Entrepreneurship,,321,,,Profile Books,,,,,Yet to start,The differences and why it matters,,Book
The Passion Economy,Adam Davidson,,Paperback,,3,,Economics,,307,,,,,,,,Yet to start,The new rules for thriving in the twenty first century,,Book
No Rules Rules,"Erin Meyer, Reed Hasting",,Ebook,2020,1,"September 15, 2020",Entrepreneurship,,293,Yes,,Penguin Group,,,⭐️⭐️⭐️⭐️⭐️,"September 11, 2020",Finished,Netflix and the culture of reinvention,4,Book
Master Your Money Master Your Life,Abhishek Kumar,,Paperback,2020,1,"September 18, 2020",Finance,,261,No,,Wisdom Tree,,,⭐️⭐️⭐️⭐️⭐️,"September 16, 2020",Finished,,2,Book
The Ride of a Lifetime,Robert Iger,,Paperback,2020,1,"September 21, 2020",Entrepreneurship,,245,Yes,,Bantam Press,,,⭐️⭐️⭐️⭐️⭐️,"September 19, 2020",Finished,Lessons in Creative Leadership,2,Book
The CEO Factory,Sudhir Sitapati,,Paperback,,2,,"Business, Entrepreneurship, Startup",,241,,,Jaggernaut,,,,,Reading,,,Book
The Psychology of Money,Morgan Housel,,Paperback,2020,1,"November 5, 2020",Finance,,240,Yes,,Jaico,,,⭐️⭐️⭐️⭐️⭐️,"November 1, 2020",Finished,"Timeless lessons on Wealth, Greed, and Happiness",4,Book
Let's Build a Company,"Harpreet S Groover, Vibhore Goyal",,Paperback,2020,1,"November 24, 2020",Startup,,224,Yes,,Penguin Group,,,⭐️⭐️⭐️,"November 17, 2020",Finished,A Startup story minus the bullshit,7,Book
Make Your Own Luck,"Bob Miglani, Rehan Yar Khan",Physical,Paperback,2020,1,"December 5, 2020",Self Help,,174,Yes,,Fingerprint Classics,,,⭐️⭐️⭐️⭐️⭐️,"December 1, 2020",Finished,,4,Book
The New One Minute Manager,"Ken Blanchard, Spencer Johnson",,Paperback,2020,1,"December 7, 2020",Management,,106,Yes,,Thorsons Classics,,,⭐️⭐️⭐️⭐️⭐️,"December 7, 2020",Finished,Managing your work and life,0,Book
The Greatest Salesman in the World,OG Mandino,,Paperback,2020,1,"December 8, 2020",Sales,,89,Yes,,Jaico,,,⭐️⭐️⭐️⭐️⭐️,"December 8, 2020",Finished,Transform your life and find true fulfillment with the priceless wisdom of ten ancient revealed within,0,Book
Eat That Frog!,Brian Tracy,,Paperback,2020,1,"December 12, 2020",Productivity,,119,Yes,,Berrett Koehler,,,⭐️⭐️⭐️⭐️⭐️,"December 9, 2020",Finished,21 Great ways to stop procrastinating and get more done in less time,3,Book
Demand Side Sales,"Bob Moesta, Greg Engle",,Ebook,,1,,Sales,,224,,Highest,Lion Crest,,,,,Yet to start,Stop selling and help your customers make progress,,Book
The Underdog Paradox,Jamie Russo,,Ebook,2021,3,"May 2, 2021","Self Help, Startup",,111,Yes,High,New Degree Press,,,⭐️⭐️⭐️⭐️,"May 1, 2021",Finished,Secrets to battling adversity and stories of real life superheroes,1,Book
Making Moonshots,Rahul Rana,,Ebook,2021,1,"February 8, 2021",Startup,,186,Yes,High,New Degree Press,2020,,⭐️⭐️⭐️⭐️⭐️,"February 5, 2021",Finished,,3,Book
From Incremental to Exponential,"Ismail Amla, Vivek Wadhwa",,Ebook,,2,,"Entrepreneurship, Startup",,235,,,Harper Collins Publishers,,,,,Yet to start,How large companies can see the future and rethink innovation,,Book
Beyond Entrepreneurship 2.0,"Bill Lazier, Jim Collins",,Ebook,,1,,"Entrepreneurship, Startup",,340,,High,Random House Business,,,,,Yet to start,Turning your business into an enduring great company,,Book
Swipe to Unlock,"Aditya Agashe, Neel Mehta, Parth Detroja",,Ebook,,1,,"Business, Startup",,292,,Highest,Belle Applications,,,,,Yet to start,The primer on technology and business strategy,,Book
Why I Stopped Wearing My Socks,Alok Kejriwal,,Ebook,,2,,Startup,,192,,,Westland Publications,,,,,Yet to start,,,Book
Hacking Growth,"Morgan Brown, Sean Ellis",,Ebook,,1,,Startup,,345,,High,Virgin Books,,,,,Yet to start,How today's fastest-growing companies drive breakout success,,Book
Life's Amazing Secrets,Gaur Gopal Das,,Ebook,,2,,"Mental Fitness, Self Help",,168,,,Penguin Group,,,,,Yet to start,How to find balance and purpose in your life,,Book
Mental Models,Peter Hollins,,Ebook,,1,,"Mental Fitness, Self Help",,118,,Highest,,,,,,Yet to start,"30 thinking tools that separate the average from the exceptional. Improved decision-making, logical analysis, and problem-solving",,Book
Climb you way out of hell,Pravin Shekar,,Ebook,,2,,Marketing,,108,,,Notion Press,,,,,Yet to start,Outlier Marketing to overcome worst-case scenarios and grow your business,,Book
Unscripted,MJ Demarco,,Ebook,,3,,Entrepreneurship,,406,,,Viperion Corporation,,,,,Yet to start,"Life, Liberty, and the Pursuit of entrepreneurship ",,Book
The Effective Executive,Peter F. Drucker,,Ebook,,1,,Entrepreneurship,,206,,High,Harper Collins Publishers,,,,,Yet to start,The definitive guide to getting the right things done,,Book
How to Stop Worrying and Start Living,Dale Carnegie,,Ebook,,2,,Self Help,,155,,,Manjul Publication,,,,,Yet to start,Time tested methods for conquering worry,,Book
23 things they don't tell you about capitalism,Ha-Joon Chang,,Ebook,,2,,Economics,,287,,,Penguin Group,,,,,Yet to start,,,Book
The Millionaire Fastlane,MJ Demarco,,Ebook,,2,,Finance,,338,,,Viperion Corporation,2011,,,,Yet to start,Crack the code to wealth and live rich for a lifetime,,Book
Product-Led Growth,Wes Bush,,Ebook,,1,,Startup,,278,,Highest,Product-Led Growth,,,,,Yet to start,How to build a product that sells itself,,Book
The Making of a Manager,Julie Zhuo,,Ebook,,1,,Entrepreneurship,,276,,High,Virgin Books,,,,,Yet to start,What to do when everyone looks to you,,Book
Rapid Idea Generation,Peter Hollins,,Ebook,,1,,Creativity,,199,,Highest,,,,,,Yet to start,"How to create, innovate, conceive, and invent from scratch",,Book
Poly Math,Peter Hollins,,Ebook,,2,,"Creativity, Self Help",,92,,,,,,,,Reading,"Master multiple discipline, learn new skills, think flexibly, and become an extraordinary autodidact",,Book
Story 10X,Michael Margolis,,Ebook,,2,,"Entrepreneurship, Marketing",,197,,,,,,,,Reading,Turn the impossible into the inevitable,,Book
The Almanack of Naval Ravikant,Eric Jorgenson,,Ebook,,1,,"Entrepreneurship, Self Help",,242,,High,Magrathea Publishing,,,,,Reading,,,Book
The one-page content Marketing Blueprint,Prafull Sharma,,Ebook,,3,,Marketing,,255,,,Axeman,,,,,Yet to start,"Step by step guide to launch a winning content marketing strategy in 90 days or less and double your inbound traffic, leads, and sales",,Book
"Fall again, Rise again",Sandeep Sharma,,Ebook,,2,,Startup,,200,,,,,,,,Reading,,,Book
System Design Interview,Alex Xu,,Ebook,,1,,"Interview, System Design",,312,,Medium,,,,,,Yet to start,,,Book
Preparing for Product Interviews,"Advaith Sridhar, Akash Ramadoss",,Ebook,,2,,Interview,,116,,,Prowess Publishings,,,,,Yet to start,A Productive guide to landing a PM job,,Book
How I Built This,Guy Raz,,Ebook,,1,,"Entrepreneurship, Startup",,322,,High,,,,,,Yet to start,The unexpected paths to success from the world's most inspiring entrepreuneurs,,Book
How to Transform your Ideas into Software Products,Poornima Vijayashanker,,Ebook,,1,,"Computer Science, Startup",,329,,Highest,,,,,,Yet to start,A step-by-step guide for validating your ideas and bringing them to life!,,Book
